pathname,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,target
karabin/(17).jpg,3.0,6.0,18.0,5.0,14.0,5.0,4.0,4.0,5.0,7.0,13.0,7.0,3.0,18.0,10.0,12.0,4.0,7.0,12.0,4.0,63.0,10.0,5.0,10.0,9.0,11.0,21.0,17.0,4.0,5.0,7.0,6.0,2.0,8.0,120.0,5.0,4.0,4.0,27.0,1.0,karabin
karabin/(14).jpg,7.0,5.0,9.0,12.0,63.0,13.0,11.0,30.0,15.0,5.0,4.0,11.0,15.0,5.0,6.0,1.0,19.0,1.0,2.0,3.0,6.0,26.0,3.0,12.0,3.0,5.0,4.0,21.0,1.0,57.0,32.0,3.0,11.0,7.0,45.0,3.0,7.0,2.0,13.0,2.0,karabin
karabin/(48).jpg,6.0,4.0,21.0,22.0,1.0,22.0,13.0,5.0,11.0,13.0,12.0,19.0,16.0,12.0,5.0,6.0,14.0,9.0,7.0,8.0,22.0,22.0,8.0,6.0,3.0,14.0,14.0,10.0,6.0,7.0,9.0,7.0,10.0,8.0,52.0,8.0,27.0,7.0,18.0,16.0,karabin
karabin/(35).jpg,7.0,5.0,3.0,15.0,3.0,45.0,10.0,5.0,4.0,6.0,23.0,15.0,5.0,16.0,10.0,23.0,2.0,9.0,20.0,7.0,39.0,15.0,10.0,6.0,12.0,12.0,10.0,5.0,13.0,13.0,17.0,4.0,3.0,8.0,41.0,9.0,8.0,5.0,31.0,6.0,karabin
karabin/(45).jpg,7.0,3.0,0.0,1.0,18.0,20.0,11.0,7.0,7.0,15.0,27.0,11.0,21.0,26.0,2.0,8.0,8.0,9.0,13.0,5.0,52.0,20.0,6.0,8.0,3.0,7.0,11.0,22.0,6.0,6.0,5.0,8.0,7.0,1.0,75.0,9.0,23.0,1.0,10.0,1.0,karabin
karabin/(5).jpg,12.0,8.0,20.0,29.0,14.0,15.0,4.0,8.0,1.0,8.0,8.0,24.0,12.0,11.0,12.0,9.0,12.0,9.0,4.0,11.0,28.0,12.0,3.0,8.0,6.0,12.0,4.0,12.0,9.0,26.0,26.0,4.0,6.0,5.0,34.0,7.0,15.0,10.0,31.0,11.0,karabin
karabin/(74).jpg,15.0,15.0,26.0,12.0,10.0,7.0,3.0,6.0,10.0,0.0,19.0,22.0,10.0,8.0,6.0,14.0,4.0,41.0,16.0,22.0,11.0,14.0,9.0,18.0,3.0,8.0,43.0,5.0,4.0,14.0,13.0,9.0,9.0,7.0,13.0,5.0,16.0,17.0,8.0,8.0,karabin
karabin/(18).jpg,2.0,11.0,11.0,3.0,7.0,2.0,7.0,8.0,8.0,6.0,29.0,9.0,1.0,8.0,5.0,19.0,3.0,19.0,15.0,4.0,77.0,23.0,4.0,14.0,4.0,1.0,9.0,6.0,5.0,1.0,1.0,14.0,4.0,1.0,123.0,5.0,10.0,1.0,17.0,3.0,karabin
karabin/(87).jpg,6.0,5.0,13.0,15.0,10.0,1.0,25.0,13.0,15.0,5.0,0.0,1.0,2.0,5.0,36.0,8.0,9.0,5.0,6.0,17.0,2.0,15.0,16.0,10.0,19.0,24.0,18.0,18.0,40.0,24.0,18.0,11.0,5.0,16.0,3.0,16.0,10.0,23.0,10.0,5.0,karabin
karabin/(51).jpg,11.0,6.0,19.0,40.0,4.0,12.0,12.0,17.0,11.0,13.0,10.0,14.0,10.0,4.0,19.0,5.0,7.0,8.0,6.0,12.0,2.0,10.0,3.0,14.0,10.0,20.0,9.0,18.0,15.0,16.0,31.0,6.0,6.0,25.0,1.0,7.0,12.0,6.0,11.0,38.0,karabin
karabin/(56).jpg,23.0,16.0,5.0,6.0,17.0,17.0,27.0,12.0,13.0,19.0,4.0,13.0,3.0,6.0,3.0,7.0,8.0,8.0,24.0,4.0,5.0,14.0,8.0,28.0,42.0,33.0,5.0,33.0,10.0,21.0,11.0,7.0,11.0,1.0,4.0,12.0,7.0,3.0,9.0,1.0,karabin
karabin/(19).jpg,7.0,14.0,4.0,6.0,2.0,18.0,5.0,10.0,10.0,11.0,51.0,7.0,5.0,10.0,7.0,21.0,13.0,15.0,3.0,1.0,30.0,9.0,4.0,3.0,5.0,1.0,7.0,5.0,6.0,10.0,9.0,8.0,5.0,3.0,116.0,3.0,10.0,7.0,30.0,9.0,karabin
karabin/(81).jpg,20.0,6.0,31.0,22.0,8.0,12.0,6.0,9.0,10.0,7.0,13.0,28.0,8.0,2.0,9.0,16.0,7.0,14.0,3.0,6.0,43.0,18.0,4.0,10.0,1.0,7.0,6.0,12.0,5.0,16.0,21.0,2.0,13.0,1.0,62.0,3.0,10.0,1.0,10.0,18.0,karabin
karabin/(99).jpg,4.0,4.0,11.0,16.0,4.0,4.0,31.0,14.0,28.0,17.0,12.0,9.0,3.0,24.0,2.0,25.0,12.0,43.0,9.0,3.0,24.0,19.0,0.0,6.0,15.0,7.0,5.0,9.0,4.0,5.0,7.0,9.0,19.0,8.0,69.0,4.0,5.0,0.0,6.0,4.0,karabin
karabin/(20).jpg,14.0,5.0,3.0,5.0,5.0,16.0,2.0,6.0,6.0,20.0,68.0,6.0,29.0,10.0,3.0,28.0,1.0,29.0,16.0,12.0,20.0,9.0,10.0,14.0,2.0,5.0,16.0,2.0,1.0,5.0,5.0,8.0,7.0,3.0,61.0,19.0,8.0,3.0,14.0,4.0,karabin
karabin/(15).jpg,15.0,10.0,12.0,7.0,2.0,14.0,16.0,4.0,28.0,22.0,14.0,7.0,6.0,15.0,8.0,8.0,9.0,7.0,10.0,14.0,18.0,23.0,17.0,14.0,17.0,12.0,17.0,6.0,15.0,5.0,7.0,12.0,12.0,11.0,13.0,19.0,21.0,10.0,14.0,9.0,karabin
karabin/(10).jpg,2.0,3.0,7.0,2.0,0.0,2.0,4.0,6.0,2.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,5.0,4.0,1.0,1.0,6.0,0.0,3.0,0.0,2.0,1.0,1.0,karabin
karabin/(37).jpg,8.0,15.0,4.0,3.0,8.0,16.0,20.0,14.0,16.0,30.0,22.0,4.0,10.0,16.0,6.0,3.0,23.0,2.0,18.0,9.0,11.0,11.0,14.0,8.0,13.0,14.0,9.0,26.0,7.0,8.0,0.0,12.0,19.0,16.0,27.0,18.0,15.0,9.0,16.0,0.0,karabin
karabin/(80).jpg,15.0,9.0,9.0,19.0,13.0,16.0,16.0,8.0,12.0,17.0,17.0,17.0,18.0,8.0,7.0,15.0,3.0,13.0,19.0,7.0,8.0,13.0,11.0,9.0,15.0,23.0,11.0,31.0,13.0,29.0,14.0,8.0,6.0,6.0,10.0,5.0,12.0,2.0,10.0,6.0,karabin
karabin/(33).jpg,13.0,21.0,9.0,38.0,2.0,14.0,4.0,3.0,7.0,14.0,7.0,17.0,8.0,4.0,17.0,29.0,7.0,18.0,7.0,13.0,4.0,16.0,17.0,20.0,3.0,10.0,15.0,5.0,7.0,16.0,21.0,10.0,9.0,8.0,6.0,15.0,5.0,17.0,8.0,36.0,karabin
karabin/(77).jpg,4.0,16.0,0.0,0.0,2.0,16.0,20.0,7.0,12.0,32.0,28.0,1.0,16.0,48.0,2.0,20.0,2.0,21.0,34.0,8.0,44.0,2.0,7.0,14.0,11.0,2.0,18.0,5.0,5.0,1.0,0.0,24.0,4.0,5.0,24.0,24.0,5.0,7.0,9.0,0.0,karabin
karabin/(42).jpg,8.0,3.0,24.0,4.0,22.0,7.0,12.0,32.0,9.0,5.0,7.0,3.0,13.0,7.0,2.0,3.0,12.0,4.0,6.0,9.0,7.0,5.0,5.0,6.0,15.0,18.0,9.0,47.0,5.0,63.0,42.0,3.0,10.0,3.0,23.0,7.0,22.0,6.0,12.0,0.0,karabin
karabin/(47).jpg,3.0,9.0,16.0,4.0,5.0,21.0,10.0,3.0,16.0,19.0,14.0,18.0,14.0,7.0,8.0,14.0,16.0,14.0,9.0,22.0,25.0,27.0,12.0,10.0,8.0,11.0,10.0,13.0,5.0,8.0,11.0,2.0,8.0,9.0,40.0,11.0,12.0,4.0,14.0,18.0,karabin
karabin/(90).jpg,4.0,3.0,5.0,8.0,4.0,6.0,6.0,4.0,4.0,1.0,0.0,5.0,7.0,4.0,0.0,1.0,8.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,8.0,7.0,0.0,7.0,3.0,2.0,1.0,0.0,11.0,3.0,0.0,1.0,5.0,1.0,6.0,7.0,karabin
karabin/(97).jpg,6.0,2.0,5.0,5.0,11.0,19.0,13.0,40.0,38.0,20.0,17.0,4.0,22.0,38.0,4.0,0.0,22.0,1.0,15.0,5.0,8.0,5.0,5.0,3.0,29.0,19.0,7.0,32.0,4.0,7.0,0.0,21.0,15.0,3.0,0.0,12.0,18.0,3.0,20.0,2.0,karabin
karabin/(96).jpg,9.0,2.0,14.0,7.0,11.0,7.0,22.0,17.0,20.0,21.0,8.0,9.0,12.0,16.0,10.0,13.0,11.0,18.0,14.0,21.0,8.0,17.0,17.0,17.0,19.0,16.0,5.0,18.0,20.0,5.0,8.0,9.0,15.0,11.0,4.0,24.0,7.0,9.0,5.0,4.0,karabin
karabin/(68).jpg,1.0,6.0,14.0,12.0,7.0,10.0,16.0,11.0,10.0,5.0,2.0,3.0,0.0,2.0,13.0,10.0,5.0,1.0,2.0,2.0,5.0,5.0,8.0,8.0,14.0,13.0,4.0,13.0,5.0,4.0,17.0,8.0,6.0,4.0,0.0,8.0,1.0,5.0,1.0,18.0,karabin
karabin/(2).jpg,15.0,19.0,2.0,0.0,0.0,2.0,17.0,6.0,22.0,10.0,4.0,4.0,1.0,4.0,12.0,27.0,5.0,38.0,12.0,39.0,2.0,1.0,31.0,32.0,11.0,5.0,15.0,7.0,22.0,3.0,1.0,37.0,8.0,13.0,2.0,27.0,1.0,19.0,12.0,12.0,karabin
karabin/orig.png,3.0,7.0,19.0,8.0,3.0,15.0,12.0,2.0,9.0,4.0,9.0,11.0,8.0,7.0,14.0,24.0,12.0,12.0,16.0,5.0,31.0,11.0,5.0,10.0,29.0,24.0,7.0,19.0,9.0,6.0,10.0,10.0,7.0,5.0,69.0,3.0,11.0,3.0,21.0,10.0,karabin
karabin/(85).jpg,15.0,3.0,13.0,7.0,18.0,7.0,5.0,2.0,6.0,3.0,12.0,10.0,3.0,36.0,5.0,20.0,7.0,29.0,12.0,11.0,60.0,15.0,5.0,7.0,10.0,11.0,8.0,14.0,1.0,7.0,13.0,8.0,9.0,2.0,60.0,2.0,15.0,8.0,15.0,6.0,karabin
karabin/(58).jpg,4.0,13.0,11.0,2.0,4.0,15.0,25.0,9.0,9.0,12.0,9.0,5.0,10.0,12.0,7.0,23.0,5.0,32.0,10.0,6.0,7.0,12.0,12.0,11.0,28.0,9.0,8.0,20.0,8.0,18.0,16.0,10.0,7.0,4.0,58.0,12.0,6.0,11.0,16.0,4.0,karabin
karabin/(11).jpg,5.0,4.0,24.0,32.0,28.0,2.0,13.0,17.0,11.0,6.0,2.0,5.0,7.0,2.0,10.0,12.0,6.0,17.0,4.0,8.0,1.0,12.0,8.0,22.0,11.0,21.0,5.0,26.0,10.0,54.0,47.0,9.0,10.0,5.0,4.0,6.0,4.0,6.0,7.0,17.0,karabin
karabin/(70).jpg,2.0,4.0,3.0,16.0,43.0,11.0,11.0,22.0,9.0,8.0,7.0,3.0,15.0,11.0,6.0,7.0,21.0,18.0,14.0,1.0,16.0,17.0,1.0,8.0,10.0,7.0,8.0,20.0,2.0,72.0,24.0,1.0,13.0,3.0,29.0,4.0,13.0,1.0,17.0,2.0,karabin
karabin/(44).jpg,4.0,4.0,10.0,14.0,3.0,3.0,6.0,13.0,15.0,1.0,2.0,5.0,14.0,14.0,5.0,1.0,8.0,1.0,14.0,2.0,3.0,9.0,1.0,4.0,4.0,11.0,3.0,21.0,6.0,14.0,7.0,4.0,3.0,2.0,0.0,9.0,4.0,0.0,1.0,10.0,karabin
karabin/(30).jpg,9.0,0.0,2.0,2.0,6.0,1.0,0.0,16.0,1.0,2.0,3.0,15.0,8.0,2.0,0.0,0.0,13.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,29.0,4.0,0.0,9.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,karabin
karabin/(62).jpg,7.0,6.0,18.0,50.0,13.0,8.0,11.0,13.0,11.0,2.0,5.0,11.0,6.0,8.0,15.0,19.0,14.0,16.0,2.0,10.0,5.0,12.0,9.0,21.0,8.0,16.0,4.0,15.0,12.0,14.0,38.0,14.0,4.0,12.0,3.0,11.0,8.0,5.0,11.0,33.0,karabin
karabin/(66).jpg,5.0,2.0,33.0,27.0,9.0,3.0,3.0,12.0,6.0,3.0,1.0,8.0,6.0,2.0,1.0,0.0,10.0,1.0,9.0,5.0,1.0,24.0,0.0,3.0,9.0,13.0,5.0,20.0,2.0,34.0,33.0,2.0,4.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,karabin
karabin/(43).jpg,7.0,14.0,5.0,0.0,2.0,30.0,15.0,6.0,12.0,15.0,16.0,2.0,9.0,17.0,14.0,24.0,4.0,10.0,12.0,9.0,50.0,1.0,10.0,14.0,9.0,7.0,9.0,6.0,8.0,5.0,15.0,9.0,8.0,6.0,57.0,9.0,8.0,14.0,26.0,6.0,karabin
karabin/(8).jpg,4.0,8.0,25.0,14.0,3.0,5.0,12.0,22.0,25.0,15.0,8.0,21.0,11.0,11.0,12.0,11.0,19.0,4.0,14.0,12.0,3.0,28.0,7.0,5.0,21.0,15.0,9.0,24.0,8.0,19.0,26.0,8.0,15.0,12.0,1.0,15.0,13.0,2.0,11.0,2.0,karabin
karabin/(24).jpg,12.0,9.0,10.0,81.0,9.0,4.0,4.0,13.0,12.0,8.0,2.0,14.0,5.0,6.0,5.0,11.0,18.0,6.0,7.0,6.0,0.0,19.0,7.0,7.0,4.0,16.0,7.0,20.0,6.0,14.0,31.0,14.0,30.0,5.0,0.0,4.0,4.0,4.0,2.0,64.0,karabin
karabin/(52).jpg,4.0,2.0,14.0,49.0,14.0,12.0,11.0,14.0,20.0,8.0,26.0,24.0,38.0,30.0,2.0,0.0,17.0,0.0,24.0,5.0,17.0,15.0,4.0,5.0,4.0,4.0,4.0,6.0,1.0,11.0,24.0,2.0,16.0,1.0,13.0,9.0,27.0,2.0,9.0,12.0,karabin
karabin/(6).jpg,9.0,6.0,18.0,40.0,12.0,2.0,7.0,5.0,8.0,5.0,9.0,9.0,3.0,6.0,5.0,29.0,13.0,34.0,11.0,9.0,29.0,11.0,3.0,16.0,2.0,7.0,7.0,9.0,5.0,11.0,18.0,4.0,7.0,5.0,65.0,7.0,23.0,10.0,11.0,10.0,karabin
karabin/(72).jpg,1.0,6.0,14.0,11.0,12.0,13.0,6.0,9.0,6.0,12.0,42.0,7.0,2.0,12.0,4.0,9.0,4.0,15.0,8.0,1.0,69.0,32.0,0.0,8.0,5.0,4.0,9.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,124.0,14.0,8.0,2.0,16.0,0.0,karabin
karabin/(55).jpg,4.0,10.0,8.0,0.0,4.0,8.0,9.0,6.0,7.0,4.0,7.0,5.0,4.0,3.0,7.0,43.0,7.0,19.0,2.0,8.0,105.0,8.0,6.0,7.0,2.0,4.0,6.0,6.0,11.0,9.0,3.0,7.0,2.0,4.0,113.0,8.0,2.0,8.0,13.0,11.0,karabin
karabin/(26).jpg,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,5.0,6.0,0.0,5.0,3.0,1.0,7.0,3.0,3.0,0.0,1.0,4.0,5.0,2.0,3.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,karabin
karabin/(7).jpg,5.0,11.0,6.0,2.0,30.0,9.0,5.0,7.0,1.0,5.0,10.0,4.0,6.0,5.0,10.0,40.0,6.0,18.0,15.0,3.0,32.0,8.0,4.0,23.0,5.0,15.0,5.0,21.0,7.0,19.0,7.0,3.0,11.0,5.0,110.0,2.0,5.0,6.0,11.0,3.0,karabin
karabin/(86).jpg,2.0,8.0,19.0,19.0,3.0,14.0,22.0,8.0,19.0,11.0,9.0,4.0,1.0,12.0,41.0,5.0,3.0,3.0,8.0,8.0,3.0,4.0,16.0,5.0,5.0,54.0,9.0,12.0,46.0,7.0,8.0,11.0,3.0,28.0,2.0,10.0,5.0,7.0,40.0,6.0,karabin
karabin/(31).jpg,6.0,2.0,5.0,18.0,23.0,3.0,4.0,20.0,2.0,5.0,5.0,22.0,6.0,2.0,0.0,5.0,32.0,8.0,4.0,1.0,17.0,13.0,0.0,4.0,2.0,7.0,3.0,6.0,0.0,34.0,17.0,3.0,24.0,0.0,43.0,1.0,11.0,0.0,7.0,3.0,karabin
karabin/(91).jpg,8.0,64.0,0.0,0.0,1.0,8.0,8.0,0.0,12.0,9.0,9.0,0.0,11.0,18.0,1.0,47.0,1.0,41.0,40.0,11.0,43.0,0.0,9.0,22.0,13.0,4.0,49.0,8.0,3.0,0.0,0.0,13.0,0.0,1.0,19.0,9.0,5.0,10.0,3.0,0.0,karabin
karabin/(46).jpg,3.0,9.0,9.0,2.0,19.0,6.0,7.0,51.0,16.0,6.0,6.0,2.0,10.0,6.0,21.0,4.0,20.0,9.0,11.0,4.0,1.0,4.0,10.0,13.0,20.0,28.0,6.0,54.0,18.0,48.0,18.0,8.0,11.0,15.0,1.0,5.0,6.0,4.0,7.0,2.0,karabin
karabin/(94).jpg,3.0,8.0,4.0,2.0,10.0,15.0,8.0,5.0,14.0,10.0,7.0,8.0,3.0,4.0,22.0,43.0,2.0,35.0,4.0,13.0,11.0,2.0,25.0,22.0,12.0,11.0,4.0,4.0,30.0,7.0,5.0,17.0,1.0,41.0,14.0,16.0,1.0,11.0,26.0,20.0,karabin
karabin/(54).jpg,6.0,37.0,3.0,0.0,6.0,11.0,13.0,2.0,11.0,24.0,21.0,11.0,8.0,17.0,3.0,34.0,6.0,28.0,27.0,14.0,27.0,2.0,8.0,20.0,9.0,4.0,34.0,7.0,8.0,2.0,0.0,24.0,4.0,9.0,15.0,21.0,4.0,11.0,9.0,0.0,karabin
karabin/(9).jpg,3.0,2.0,7.0,21.0,38.0,3.0,7.0,17.0,8.0,6.0,3.0,15.0,7.0,4.0,2.0,3.0,28.0,24.0,4.0,1.0,21.0,32.0,3.0,5.0,4.0,8.0,2.0,27.0,3.0,13.0,19.0,7.0,17.0,4.0,113.0,3.0,5.0,3.0,4.0,4.0,karabin
karabin/(13).jpg,11.0,4.0,13.0,46.0,7.0,22.0,6.0,12.0,5.0,30.0,36.0,13.0,11.0,3.0,5.0,14.0,9.0,5.0,3.0,1.0,14.0,16.0,3.0,4.0,6.0,5.0,9.0,7.0,7.0,41.0,37.0,9.0,8.0,7.0,22.0,12.0,11.0,1.0,9.0,16.0,karabin
karabin/(50).jpg,4.0,2.0,29.0,53.0,3.0,10.0,11.0,30.0,9.0,8.0,20.0,12.0,12.0,13.0,8.0,0.0,28.0,2.0,9.0,5.0,4.0,27.0,7.0,2.0,7.0,16.0,4.0,15.0,6.0,29.0,32.0,4.0,20.0,6.0,0.0,5.0,25.0,7.0,12.0,4.0,karabin
